$ python3 tools/ci/checks.py
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/superpowers/specs/2026-09-13-duct-measurement-rules.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/research/engineering/roboflow-preparation-manifest-2026-09-13.json
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: tests/fixtures/duct-takeoff/README.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/operations/mechanical-dataset-audit.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/superpowers/specs/2026-09-13-calculation-sequence-design.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/superpowers/plans/2026-09-10-equipment-workflow.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/operations/drawing-workspace.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/superpowers/plans/2026-09-10-equipment-workflow.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/superpowers/plans/2026-09-10-equipment-workflow.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/operations/drawing-workspace.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/operations/drawing-workspace.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/superpowers/plans/2026-09-10-drawing-workspace.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/roadmap.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: ROADMAP.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: crates/heleos-worker-runner/evidence/live-grok-run.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: crates/heleos-worker-runner/evidence/live-codex-run.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: crates/heleos-worker-runner/evidence/live-cursor-run.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: AGENTS.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: CLAUDE.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: KIMI.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: GROK.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: CURSOR.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: GROKBOTS.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: SKILLS.md
link: docs/operations/status-archive/CURRENT_STATUS-through-2026-09-16-7397696.md: docs/superpowers/plans/2026-08-28-heleos-spark-foundation-0.1.md
